Bid Number,School,Debater 1,Debater 2,Year
3,Harvard,Stephen Andrews,Rebecca Tushnet,1995
4,Dartmouth,Andre Hylton,Marc Wilson,1995
5,Texas,Jonathan Brody,Eric Emerson,1995
6,Emory,Charlie Henn,Jamie McKown,1995
7,Redlands,Timothy Barouch,Chris Lundberg,1995
8,Dartmouth,David Reymann,Jonathan Reymann,1995
9,Northwestern,Sinan Aral,Mason Miller,1995
10,Northwestern,Sean McCaffity,Jody Terry,1995
11,Iowa,Tiffany Earl,Laura Veldkamp,1995
12,Wayne State,Chris LaVigne,Ron Stevenson,1995
13,Georgia,Paul Barsness,Leonard Neighbors,1995
14,University of Michigan,Michael Dickler,Scott Hessell,1995
15,Iowa,Ernest Wagner,Alison Werner,1995
16,Wake Forest,Brian Prestes,Bryan Yeazel,1995
,,,,
1,Northwestern,Sean McCaffity,Mason Miller,1996
2,Dartmouth,Andre Hylton,Marc Wilson,1996
3,Wake Forest,John Hughes,Brian Prestes,1996
4,University of Michigan,Michael Dickler,Scott Hessell,1996
5,Redlands,Demetrius Lambrinos,Chris Lundberg,1996
6,Iowa,Chris Mutel,Corey Rayburn,1996
7,Dartmouth,David Reymann,Jonathan Reymann,1996
8,Emory,David Heidt,Kate Shuster,1996
9,Wayne State,Chris LaVigne,Brian Wassom,1996
10,Baylor,Charles Blanchard,Kelly Dunbar,1996
11,Georgia,Paul Barsness,Michael Cates,1996
12,Wake Forest,Chris Cooper,Daveed Gartenstein-Ross,1996
13,Liberty,Layla Hinton,Bill Lawrence,1996
14,Northwestern,Brandon Fletcher,Terry Johnson,1996
15,Emory,Ronna Landy,Anjan Sahni,1996
16,West Georgia,Daniel Davis,Jay Harriman,1996
,,,,
1,University of Michigan,Scott Hessell,Corey Stoughton,1997
2,Wake Forest,Daveed Gartenstein-Ross,Brian Prestes,1997
3,Iowa,Andy Peterson,Corey Rayburn,1997
4,Georgia,Paul Barsness,Daniel Davis,1997
5,Louisville,Dave Arnett,Jason Renzelman,1997
6,Northwestern,Michael Gottlieb,Terry Johnson,1997
7,Kansas,Hajir Ardebili,Drew France,1997
8,Harvard,Sanket Bulsara,Sonja Starr,1997
9,Dartmouth,David Hung,Steve Lehotsky,1997
10,Michigan State,Erik Cornellier,John Sullivan,1997
11,Emory,Ronna Landy,Anjan Sahni,1997
12,Emory,Dan Fitzmeier,Stephen Heidt,1997
13,Baylor,Ben Coulter,Kelly Dunbar,1997
14,Gonzaga,Will Brewer,Ian McLoughlin,1997
15,Northwestern,Brandon Fletcher,Leslie Mueller,1997
16,Dartmouth,Robbie Ashe,Greg Mead,1997
,,,,
1,Emory,George Kouros,Anjan Sahni,1998
2,Northwestern,Michael Gottlieb,Ryan Sparacino,1998
3,University of Michigan,Corey Stoughton,Lesley Wexler,1998
4,Georgetown,Jason Kwon,Kelly Steele,1998
5,Harvard,Carl Engstrom,Sonja Starr,1998
6,Iowa,Andy Peterson,Corey Rayburn,1998
7,Michigan State,Erik Cornellier,John Sullivan,1998
8,Georgia,Michael Cates,Christopher McIntosh,1998
9,Emory,Dan Fitzmeier,Stephen Heidt,1998
10,Dartmouth,David Hung,Steve Lehotsky,1998
11,Kansas,Hajir Ardebili,Grant McKeehan,1998
12,Texas,James Griffin,Judd Renken,1998
13,West Georgia,Kris Bonilla,Michael Carver,1998
14,North Texas,Eli Holloway,Cody Morrow,1998
15,CSU Fullerton,Laura Heider,Demetrius Lambrinos,1998
16,Kansas,Mike Eber,Amy Miller,1998
,,,,
1,Northwestern,Michael Gottlieb,Ryan Sparacino,1999
2,Emory,Stephen Bailey,Kamal Ghali,1999
3,Kansas,Mike Eber,Grant McKeehan,1999
4,Emory,Mike Horowitz,Jon Lupo,1999
5,Georgia,Christopher McIntosh,William Roberts,1999
6,Dartmouth,Adam Garen,Steve Lehotsky,1999
7,Michigan State,Steve Donald,Aaron Monick,1999
8,University of Michigan,Jason Hernandez,Kelly Steele,1999
9,Wake Forest,Justin Green,Clay Rhodes,1999
10,Redlands,Mark Graffagnini,John Miller,1999
11,Southern California,Adam Hurder,Roger Stetson,1999
12,University of Michigan,Chris Pudelski,Gabe Scannapieco,1999
13,Iowa,Trevor Foster,Andy Peterson,1999
14,Whitman,Jessica Clarke,Adam Symonds,1999
15,Texas,Kelly Congdon,James Reed,1999
16,Southern California,Melissa Hahn,Lindsay Harrison,1999
,,,,
1,Iowa,Kristin Langwell,Andy Ryan,2000
2,Emory,Stephen Bailey,Kamal Ghali,2000
3,Emory,Larry Heftman,Jeff McNabb,2000
4,Michigan State,Steve Donald,Aaron Monick,2000
5,Kansas,Mike Eber,Grant McKeehan,2000
6,Wake Forest,Cyclone Covey,Wesley Lotz,2000
7,University of Michigan,Chris Pudelski,Gabe Scannapieco,2000
8,Northwestern,Jonathan Paul,Ryan Sparacino,2000
9,Texas,Kirk Evans,Jairus Grove,2000
10,Redlands,Mark Graffagnini,John Miller,2000
11,Gonzaga,Casey Kelly,Aaron Moburg-Jones,2000
12,West Georgia,Sarah Holbrook,Rachel Saloom,2000
13,Dartmouth,Alex Berger,Adam Garen,2000
14,Texas,James Reed,Stephen Stetson,2000
15,Wake Forest,Jarrod Atchison,Emma Filstrup,2000
16,Whitman,Jessica Clarke,Charles Olney,2000
,,,,
1,"California, Berkeley",Randy Luskey,Dan Shalmon,2001
2,Wake Forest,Jarrod Atchison,Wesley Lotz,2001
3,Iowa,Andrew Peterson,Andrew Ryan,2001
4,Dartmouth,Alex Berger,Adam Garen,2001
5,Emory,Stephen Bailey,Kamal Ghali,2001
6,Texas,Nathan Evans,Lloyd Hornbuckle,2001
7,Northwestern,Jacob Foster,Jonathan Paul,2001
8,Michigan State,Austin Carson,Calum Matheson,2001
9,North Texas,Kenda Cunningham,John Hines,2001
10,Fort Hays State,Joe Ramsey,Jason Regnier,2001
11,West Georgia,Rashad Evans,Sarah Holbrook,2001
12,Emory,Josh Lynn,John Rains,2001
13,University of Michigan,Adriana Midence,Carl Sammartino,2001
14,Southern California,Chris McFarlane,Andy Silverman,2001
15,Texas,Pam Bowman,Katerina Hatziavramidis,2001
16,Northwestern,Geoff Garen,Adrianna Kastanek,2001
,,,,
1,Dartmouth,Alex Berger,Ben Thorpe,2002
2,Northwestern,Jacob Foster,Jonathan Paul,2002
3,Michigan State,Austin Carson,Calum Matheson,2002
4,"California, Berkeley",Stacy Nathan,Dan Shalmon,2002
5,Whitman,Thad Blank,Chales Olney,2002
6,Michigan State,Greta Stahl,David Strauss,2002
7,Fort Hays State,Joe Ramsey,Jason Regnier,2002
8,Emory,John Rains,Kacey Wolmer,2002
9,University of Kentucky,Russ Hubbard,Mike Tetzlaff,2002
10,Northwestern,Paul Flaig,Geoff Garen,2002
11,Wake Forest,Rebecca Eaton,Patrick Speice,2002
12,West Georgia,Rashad Evans,Sarah Holbrook,2002
13,Harvard,Michael Klinger,Elliott Tarloff,2002
14,"California, Berkeley",Nathan Haratani,Tejinder Singh,2002
15,Emory,Adam Goldstein,Josh Lynn,2002
16,Southern California,Chris McFarlane,Andy Silverman,2002
,,,,
1,Northwestern,Geoff Garen,Tristan Morales,2003
2,Emory,Josh Lynn,Scott Phillips,2003
3,"California, Berkeley",Stacy Nathan,Dan Shalmon,2003
